"article","mention","full_quote","original_name"
"bioj:a2000-04-MOL_ECOL","bioj:a2000-04-MOL_ECOL-C01-mention","FST was used to describe the variation among populations and
was calculated using biosys (Swofford & Selander 1981).","BIOSYS"
"bioj:a2000-08-CELL_RES","bioj:a2000-08-CELL_RES-C01-mention","The banding pattern was visualized by autoradiography for 12 h and analyzed by Gelworks 1D advanced software in Shanghai Institute of Biochemistry, Chinese Academy of Sciences.","Gelworks 1D Advanced"
"bioj:a2000-08-CELL_RES","bioj:a2000-08-CELL_RES-C02-mention","The gel was then stained with SYBR Green-I (FMC Bioproducts) for 15 min, visualized by UVP system and analyzed by Gelworks 1D advanced software.","Gelworks 1D Advanced"
"bioj:a2000-22-AM_J_BOT","bioj:a2002-22-AM_J_BOT_B01-mention","We used Detrended Correspondence Analysis in PC-ORD (McCune, 1993) to depict multivariate changes in dominance of species neighborhoods for each focal species in recently burned and long-unburned sites.","PC-ORD"
"bioj:a2000-32-J_CELL_BIOL","bioj:a2000-32-J_CELL_BIOL-C01-mention","All images were analyzed with Adobe Photoshop (version 5.02).","Adobe Photoshop"
"bioj:a2000-32-J_CELL_BIOL","bioj:a2000-32-J_CELL_BIOL-C02-mention","The staining intensity profiles illustrated in Fig. 4 (B and D) were based on LSM510 imaging software (version 2.3).","LSM510"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C09-mention","In band c, the structures of Van A and DdlB were overlaid in the program QUANTA.","QUANTA"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C04-mention","Individual atomic parameters were refined by using REFMAC. With noncrystallographic re-straints, Rcryst and Rfree values were reduced to 46% and 50%, respectively.","REFMAC"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C05-mention","Initial phases were derived from these coordinates by the program CAD (14) and improved by averaging, solvent flattening, and histogram matching in the program DM (15), by using a figure of merit calculated in REFMAC.","CAD"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C06-mention","Initial phases were derived from these coordinates by the program CAD (14) and improved by averaging, solvent flattening, and histogram matching in the program DM (15), by using a figure of merit calculated in REFMAC.","DM"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C07-mention","Initial phases were derived from these coordinates by the program CAD (14) and improved by averaging, solvent flattening, and histogram matching in the program DM (15), by using a figure of merit calculated in REFMAC.","REFMAC"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C10-mention","Inspection of the overlaid structures by using QUANTA (Molec-ular Simulations) clearly shows the presence of a number of extended loops in the VanA N-terminal domain that account for the majority of these extra amino acids (see Fig. 1 b and c).","QUANTA"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C02-mention","Numerous attempts to solve the structure of VanA by molecular replacement by using a variety of programs had proved unsuccessful until recent in-house developments in the molecular replacement program MOLREP (10) became available.","MOLREP"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C08-mention","Rebuilding from this initial model was carried out by using the X-AUTOFIT routine implemented in the program QUANTA (Molecular Simulations, San Diego, CA).","QUANTA"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C03-mention","Rigid-body refinement as implemented in the program REFMAC (13) was performed on a polyalanine model of the structure solution divided into three domains. Refinement was carried out starting from 6Å resolution with gradual increments in resolution to 2.5 Å.","REFMAC"
"bioj:a2000-32-P_NATL_ACAD_SCI_USA","bioj:a2000-32-P_NATL_ACAD_SCI_USA-C01-mention","The data were processed and reduced by using the HKL suite of programs (9).","HKL"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C04-mention","A complete protein and DNA model were built into the electron density map using O (ref. 44).","O"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C01-mention","All diffraction data were processed by HKL (ref. 41) (see Table 1 in Supplementary Information).","HKL"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C10-mention","Figure-of-merit: 0.38 & Score: 117.23 (determined by SOLVE)","SOLVE"
